SMU,North Texas,66.5,-7.5,09/03/2016,2016-09-03 18:36:14.547944
San Jose State,Tulsa,66,+4.5,09/03/2016,2016-09-03 18:36:14.547944
SMU,North Texas,67.5,-7,09/03/2016,2016-09-03 18:42:19.815137
New Mexico State,UTEP,58.5,+9.5,09/03/2016,2016-09-03 19:18:11.899311
Massachusetts,Florida,51.5,+36,09/03/2016,2016-09-03 19:30:19.480625
Massachusetts,Florida,52,+36,09/03/2016,2016-09-03 19:36:13.934993
USC,Alabama,51.5,+13.5,09/03/2016,2016-09-03 19:36:13.934993
Fresno State,Nebraska,63,+29.5,09/03/2016,2016-09-03 19:48:21.324025
Clemson,Auburn,63,-9.5,09/03/2016,2016-09-03 19:48:21.324025
USC,Alabama,51.5,+14,09/03/2016,2016-09-03 19:54:23.066489
BYU,Arizona,63.5,-1,09/03/2016,2016-09-03 20:24:10.582123
BYU,Arizona,64,-1,09/03/2016,2016-09-03 21:36:16.512267
BYU,Arizona,64,-1.5,09/03/2016,2016-09-03 22:18:13.404465
Northern Illinois,Wyoming,54,-7,09/03/2016,2016-09-03 23:12:09.725758
Mississippi,Florida State,59,+6,09/04/2016,2016-09-05 00:00:21.828333
Mississippi,Florida State,59,+6,09/05/2016,2016-09-05 12:00:15.322037
Mississippi,Florida State,59,+6.5,09/05/2016,2016-09-05 13:54:10.311974
Mississippi,Florida State,58.5,+6.5,09/05/2016,2016-09-05 15:06:08.244653
Mississippi,Florida State,58.5,+6,09/05/2016,2016-09-05 15:54:13.454365
Mississippi,Florida State,58,+6,09/05/2016,2016-09-05 18:00:26.027164
Mississippi,Florida State,58,+5.5,09/05/2016,2016-09-05 18:48:24.589510
Mississippi,Florida State,58,+5,09/05/2016,2016-09-05 19:36:13.730950
Mississippi,Florida State,58,+4.5,09/05/2016,2016-09-05 20:00:12.910582
Maryland,Florida International,57,-10.5,09/08/2016,2016-09-09 00:00:18.133055
Louisville,Syracuse,69,-15,09/08/2016,2016-09-09 00:00:18.133055
Maryland,Florida International,56.5,-10.5,09/09/2016,2016-09-09 12:00:12.853706
Louisville,Syracuse,69,-15,09/09/2016,2016-09-09 12:00:12.853706
Maryland,Florida International,56.5,-11,09/09/2016,2016-09-09 12:06:15.947564
Maryland,Florida International,56.5,-11.5,09/09/2016,2016-09-09 13:18:23.138983
Louisville,Syracuse,69.5,-15,09/09/2016,2016-09-09 13:36:13.058521
Louisville,Syracuse,69.5,-16,09/09/2016,2016-09-09 15:00:19.583202
Maryland,Florida International,56.5,-12,09/09/2016,2016-09-09 16:00:21.749263
Louisville,Syracuse,70,-16,09/09/2016,2016-09-09 17:06:12.789724
Louisville,Syracuse,71,-16,09/09/2016,2016-09-09 17:18:23.158786
Louisville,Syracuse,70.5,-16,09/09/2016,2016-09-09 17:24:11.475969
Louisville,Syracuse,71,-16.5,09/09/2016,2016-09-09 18:36:17.940325
Louisville,Syracuse,71,-17,09/09/2016,2016-09-09 18:48:17.967928
Louisville,Syracuse,71,-17.5,09/09/2016,2016-09-09 18:54:23.490935
Louisville,Syracuse,70,-17,09/09/2016,2016-09-09 19:24:20.307459
Boston College,Massachusetts,38.5,-16.5,09/09/2016,2016-09-10 00:00:14.034486
Rice,Army,52,+8.5,09/09/2016,2016-09-10 00:00:14.034486
Central Florida,Michigan,53.5,+36,09/09/2016,2016-09-10 00:00:14.034486
Penn State,Pittsburgh,47.5,+4,09/09/2016,2016-09-10 00:00:14.034486
Cincinnati,Purdue,59,-5,09/09/2016,2016-09-10 00:00:14.034486
Central Michigan,Oklahoma State,61.5,+20,09/09/2016,2016-09-10 00:00:14.034486
NC State,East Carolina,57,-6,09/09/2016,2016-09-10 00:00:14.034486
Wyoming,Nebraska,58.5,+24.5,09/09/2016,2016-09-10 00:00:14.034486
Troy,Clemson,63.5,+35,09/09/2016,2016-09-10 00:00:14.034486
Georgia State,Air Force,52.5,+21,09/09/2016,2016-09-10 00:00:14.034486
Utah State,USC,59,+16.5,09/09/2016,2016-09-10 00:00:14.034486
Ohio,Kansas,59.5,+2,09/09/2016,2016-09-10 00:00:14.034486
Old Dominion,Appalachian State,54.5,+21,09/09/2016,2016-09-10 00:00:14.034486
Akron,Wisconsin,47,+23.5,09/09/2016,2016-09-10 00:00:14.034486
Tulsa,Ohio State,73,+28.5,09/09/2016,2016-09-10 00:00:14.034486
Wake Forest,Duke,44,+6.5,09/09/2016,2016-09-10 00:00:14.034486
Connecticut,Navy,45,+4,09/09/2016,2016-09-10 00:00:14.034486
Kentucky,Florida,50,+16,09/09/2016,2016-09-10 00:00:14.034486
Nevada,Notre Dame,61.5,+28.5,09/09/2016,2016-09-10 00:00:14.034486
Western Kentucky,Alabama,62.5,+29,09/09/2016,2016-09-10 00:00:14.034486
SMU,Baylor,76,+32,09/09/2016,2016-09-10 00:00:14.034486
